season_year,revenue_musd,operating_cost_musd,salary_total_musd,tax_paid_musd,wins
2015,647.2892044890257,346.4468355844672,0.0,0.0,
2016,655.4908630449895,350.83658692521595,0.0,0.0,
2017,669.4634521799583,358.31509770086404,0.0,0.0,
2018,685.793028106068,367.05513208858866,0.0,0.0,
2019,698.2279769589829,373.7106558496374,0.0,0.0,
2020,706.9758665210051,378.39276492203794,0.0,0.0,
2021,740.0556162478895,396.09794915085905,0.0,0.0,
2022,799.2042407389015,427.75590612275295,0.0,0.0,
2023,832.1938623497864,445.4128513258516,0.0,0.0,
2024,856.7578706922235,458.5601785182242,0.0,0.0,
2025,880.0,471.0,0.0,0.0,
