Season_Year,Salary_Cap,Luxury_Tax_Threshold,Apron_1_Line,Apron_2_Line,Total_Payroll,Luxury_Tax_Paid,Total_Cash_Spend,Franchise_Valuation
2016,70000000,84740000,N/A,N/A,93695592,14800000,108495592,2600000000
2017,94143000,113287000,N/A,N/A,99600000,0,99600000,3100000000
2018,99093000,119266000,N/A,N/A,137600000,32263299,169863299,3500000000
2019,101869000,123733000,N/A,N/A,146300000,51487864,197787864,4300000000
2020,109140000,132627000,138900000,N/A,132317044,0,132317044,4700000000
2021,109140000,132627000,N/A,N/A,169212512,68900000,238112512,5600000000
2022,112414000,136606000,N/A,N/A,175858992,170331194,346190186,7000000000
2023,123655000,150267000,N/A,N/A,188371492,163700000,352071492,7700000000
2024,136021000,165294000,172346000,182794000,205572652,176880901,382453553,8800000000
2025,140588000,170814000,N/A,N/A,176887433,12360000,189247433,11000000000
2026,154646800,187895400,,,,,,
2027,170111480,206684940,,,,,,
2028,187122628,227353434,,,,,,
